ScientificName,Ocean,latitude,longitude,DepthInMeters,ObservationYear,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Salinity,pH,pHscale
Adelogorgia phyllosclera,North Pacific,33.85013,-119.99414,79,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84816,-119.99651,87,2015,8.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85624,-119.98978,75,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85015,-119.99412,78,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85015,-119.99412,78,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84953,-119.99633,73,2015,1.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85756,-119.98708,73,2015,1.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85429,-119.99082,79,2015,2.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84927,-119.99654,80,2015,2.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84928,-119.99654,79,2015,5.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84871,-119.99645,84,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84884,-119.99651,84,2015,7.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85019,-119.99403,78,2015,5.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84918,-119.99651,81,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84874,-119.99648,85,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85215,-119.99241,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85392,-119.99118,79,2015,6.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84863,-119.99638,86,2015,9.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85611,-119.98986,74,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85202,-119.99256,80,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87832,-119.94345,78,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.88013,-119.94448,84,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85189,-119.99276,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84832,-119.99645,86,2015,9.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85191,-119.99275,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.8491,-119.99647,84,2015,10.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84911,-119.99646,83,2015,12.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84885,-119.99651,84,2015,2.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87974,-119.94456,85,2015,5.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.8548,-119.99049,79,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85014,-119.99413,79,2015,8.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85014,-119.99413,79,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84906,-119.99649,85,2015,14.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84894,-119.9965,83,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85752,-119.98679,73,2015,2.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85017,-119.99408,78,2015,5.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85126,-119.99312,81,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.8483,-119.99646,86,2015,8.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84917,-119.99649,81,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85077,-119.99348,80,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84912,-119.99645,83,2015,8.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85478,-119.99052,79,2015,2.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84913,-119.99644,82,2015,11.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84913,-119.99644,83,2015,6.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84905,-119.99649,85,2015,13.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84913,-119.99645,83,2015,9.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85752,-119.98679,73,2015,1.0,present,,Damaged,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85097,-119.99323,81,2015,6.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85022,-119.99395,76,2015,5.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85623,-119.9898,75,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.87885,-119.94422,81,2015,2.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.84899,-119.9965,84,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85492,-119.99042,76,2015,9.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85305,-119.99179,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84931,-119.99655,78,2015,5.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85213,-119.99245,80,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85214,-119.99243,80,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84879,-119.9965,84,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84936,-119.99654,76,2015,2.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84936,-119.99654,76,2015,1.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84936,-119.99654,76,2015,1.0,present,,Damaged,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.88007,-119.94451,84,2015,3.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85017,-119.99409,78,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85183,-119.99283,80,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87856,-119.9427,84,2015,4.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85754,-119.9872,73,2015,1.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.87912,-119.94409,83,2015,5.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.8494,-119.9965,75,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84943,-119.99645,74,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85013,-119.99414,79,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85756,-119.9871,73,2015,2.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84814,-119.99652,87,2015,10.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85014,-119.99413,79,2015,6.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84817,-119.99651,87,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85477,-119.99055,78,2015,2.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85119,-119.99316,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85057,-119.99356,79,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85016,-119.9941,79,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87928,-119.94406,85,2015,3.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.8521,-119.99249,80,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85211,-119.99248,80,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85779,-119.98623,72,2015,1.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85782,-119.98621,71,2015,1.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.8502,-119.994,78,2015,7.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84922,-119.99652,81,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85021,-119.99397,77,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85095,-119.99327,81,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85218,-119.99237,80,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84848,-119.9964,86,2015,7.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84925,-119.99654,80,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87837,-119.94248,82,2015,3.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.8522,-119.99234,80,2015,5.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84852,-119.9964,86,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85225,-119.99228,80,2015,4.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84858,-119.99639,85,2015,10.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84904,-119.9965,84,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85443,-119.99076,79,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85609,-119.98988,74,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85027,-119.99389,77,2015,5.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.8561,-119.98987,74,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.87843,-119.94259,81,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85375,-119.99127,80,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84937,-119.99653,76,2015,1.0,present,,Damaged,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84867,-119.9964,86,2015,9.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.8491,-119.99647,84,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84868,-119.99641,85,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84869,-119.99642,84,2015,6.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87856,-119.94271,84,2015,3.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87936,-119.94437,84,2015,2.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85037,-119.99377,77,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84877,-119.9965,84,2015,2.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85634,-119.98969,75,2015,2.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.87847,-119.94279,80,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85401,-119.99109,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84823,-119.99648,87,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84955,-119.99631,72,2015,1.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85751,-119.98675,73,2015,1.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84882,-119.99651,84,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85772,-119.98644,73,2015,1.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85301,-119.99182,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85778,-119.98624,72,2015,1.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85409,-119.99105,80,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85092,-119.99336,81,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84886,-119.9965,84,2015,11.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.88007,-119.94447,84,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85215,-119.9924,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84923,-119.99653,81,2015,8.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84888,-119.9965,85,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.8489,-119.9965,84,2015,5.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85099,-119.99322,81,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85425,-119.99086,79,2015,5.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85426,-119.99084,79,2015,5.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85128,-119.99311,81,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.849,-119.9965,85,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.849,-119.9965,85,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84903,-119.9965,84,2015,6.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.879,-119.94415,82,2015,8.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87666,-119.94074,88,2015,2.0,present,,Live,10.2,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87902,-119.94414,82,2015,4.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85155,-119.99297,81,2015,4.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85449,-119.99074,79,2015,2.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85168,-119.99292,81,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85378,-119.99125,80,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84908,-119.99648,84,2015,11.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85381,-119.99124,80,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87972,-119.94455,85,2015,3.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87973,-119.94455,85,2015,4.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85468,-119.99066,79,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85473,-119.99063,79,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85474,-119.99062,79,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85196,-119.99268,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85476,-119.99059,79,2015,1.0,present,,Damaged,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85477,-119.99058,78,2015,3.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.8798,-119.94456,85,2015,2.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85643,-119.98966,73,2015,4.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84953,-119.99634,73,2015,1.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87988,-119.94456,84,2015,2.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87883,-119.94397,82,2015,3.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.84915,-119.99647,82,2015,4.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84916,-119.99648,81,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84884,-119.99651,84,2015,2.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.88001,-119.94445,83,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85212,-119.99247,80,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.8779,-119.94081,86,2015,4.0,present,,Live,10.2,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87792,-119.94082,86,2015,5.0,present,,Live,10.2,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87885,-119.94413,82,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.84842,-119.99641,86,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.88007,-119.9445,84,2015,3.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.84924,-119.99653,80,2015,8.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85486,-119.99045,78,2015,5.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85218,-119.99235,80,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87797,-119.94087,86,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85488,-119.99044,78,2015,4.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85221,-119.99233,80,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87799,-119.9409,85,2015,3.0,present,,Live,10.2,33.8,,
Adelogorgia phyllosclera,North Pacific,33.8493,-119.99655,79,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.8486,-119.99639,86,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.8486,-119.99639,86,2015,7.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85606,-119.98989,74,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84934,-119.99655,76,2015,1.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85753,-119.98833,71,2015,9.0,present,,Live,,,,
Adelogorgia phyllosclera,North Pacific,33.85499,-119.99041,79,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85504,-119.99041,79,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84937,-119.99653,76,2015,2.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84909,-119.99647,84,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84799,-119.9966,87,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.848,-119.99659,87,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84802,-119.99658,87,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85754,-119.9872,73,2015,1.0,present,,Damaged,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85755,-119.98718,73,2015,1.0,present,,Live,10.4,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85538,-119.99016,77,2015,1.0,present,,Damaged,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84813,-119.99652,87,2015,6.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87918,-119.94407,84,2015,10.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87459,-119.99522,62,2015,2.0,present,,Live,11.0,33.5,,
Adelogorgia phyllosclera,North Pacific,33.84951,-119.99637,74,2015,4.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84914,-119.99646,82,2015,13.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87922,-119.94407,85,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85563,-119.99007,77,2015,3.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84825,-119.99648,87,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84828,-119.99646,87,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87884,-119.94406,82,2015,1.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85302,-119.99181,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85573,-119.99001,77,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.87834,-119.94227,81,2015,2.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85306,-119.99178,81,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85021,-119.99399,78,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87793,-119.94083,85,2015,2.0,present,,Live,10.2,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85584,-119.98997,77,2015,1.0,present,,Damaged,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85022,-119.99396,77,2015,7.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85022,-119.99396,77,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85315,-119.99165,81,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87934,-119.94414,85,2015,8.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85023,-119.99393,77,2015,7.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85597,-119.9899,74,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84854,-119.99639,86,2015,8.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87837,-119.94253,81,2015,2.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85438,-119.99077,79,2015,2.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85153,-119.99298,81,2015,6.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87659,-119.94075,88,2015,7.0,present,,Live,10.2,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87841,-119.94258,81,2015,3.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87935,-119.94426,85,2015,3.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85028,-119.99388,78,2015,5.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87852,-119.94263,83,2015,4.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87854,-119.94264,84,2015,5.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.84866,-119.99639,86,2015,7.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.87856,-119.94268,84,2015,1.0,present,,Damaged,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.87856,-119.94268,84,2015,5.0,present,,Live,10.3,33.8,,
Adelogorgia phyllosclera,North Pacific,33.85033,-119.99383,78,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85034,-119.99382,77,2015,3.0,present,,Live,10.6,33.6,,
